INCIDENT_DATE,REG,FLT,OPID,AIRPORT_ID
2015-01-01 00:00:00,,,,KGNV
2015-01-01 10:24:00,N560ET,,BUS,KRBD
2015-01-01 11:15:00,N70425,2216,AAL,KSMF
2015-01-01 11:50:00,N487UA,223,UAL,KDEN
2015-01-01 12:18:00,,3,BUS,
2015-01-01 14:40:00,N291SW,5463,SKW,KSMF
2015-01-01 22:15:00,XA-VOM,970,VOI,KSMF
2015-01-02 00:00:00,,,,KSNA
2015-01-02 00:00:00,,,,KPIT
2015-01-02 00:00:00,,,,KMCO
2015-01-02 00:00:00,,,,KJFK
2015-01-02 00:00:00,,,,KDEN
2015-01-02 00:00:00,,,,KDCA
2015-01-02 00:00:00,,,,KSMF
2015-01-02 00:00:00,,,,KJFK
2015-01-02 05:32:00,N389SW,1746,SWA,KBOI
2015-01-02 06:21:00,N220NV,611,AAY,KSFB
2015-01-02 07:00:00,N378SW,4395,SWA,KSMF
2015-01-02 08:30:00,N398SW,1191,SWA,KSMF
2015-01-02 15:59:00,N489HA,353,HAL,PHNL
2015-01-02 19:23:00,N6765T,,KAP,KOWB
2015-01-02 19:25:00,N771SA,1637,SWA,KSTL
2015-01-03 00:00:00,,,,KSLC
2015-01-03 00:00:00,,,,KDAB
2015-01-03 00:00:00,,,,PGUM
2015-01-03 00:00:00,,,,KPDX
2015-01-03 00:00:00,,,,KPDX
2015-01-03 06:56:00,N379SW,2131,SWA,KDEN
2015-01-03 08:00:00,N232WN,1795,SWA,KICT
2015-01-03 11:23:00,N968AN,2252,AAL,KDFW
2015-01-03 11:32:00,N3732J,910,DAL,KATL
2015-01-03 11:54:00,N789JB,354,JBU,KJFK
2015-01-03 14:00:00,N809NN,1316,AAL,KSNA
2015-01-03 15:30:00,N77258,,UAL,KIAH
2015-01-03 16:08:00,,5342,ASQ,KEVV
2015-01-03 16:27:00,N915US,857,AWE,KPHL
2015-01-03 17:30:00,,253,SWA,KDEN
2015-01-03 19:03:00,N516JB,266,JBU,KSMF
2015-01-03 20:37:00,N4254R,,BUS,PGSN
2015-01-04 00:00:00,,,,KSMF
2015-01-04 00:00:00,,,,PHNL
2015-01-04 00:00:00,,,,KPRC
2015-01-04 00:00:00,,,,KCVG
2015-01-04 00:15:00,N600WN,4574,SWA,KBDL
2015-01-04 08:35:00,N930WN,1116,SWA,KSJC
2015-01-04 10:40:00,N37293,1556,UAL,KDEN
2015-01-04 13:20:00,,322V,SKW,KSBA
2015-01-04 13:50:00,N8638A,1587,SWA,KSMF
2015-01-04 14:21:00,,1416,SWA,KSMF
2015-01-04 15:48:00,N861DA,172,DAL,KJFK
2015-01-04 16:20:00,N913EV,4456,SKW,KSLC
2015-01-04 16:43:00,N377QS,377,BUS,KDAB
2015-01-04 17:10:00,N760SW,253,SWA,KDEN
2015-01-05 00:00:00,,,,KPRC
2015-01-05 00:00:00,,,,KLGA
2015-01-05 00:00:00,,,,KGFL
2015-01-05 07:28:00,,4317,TCF,KRDU
2015-01-05 09:12:00,N918DL,1120,DAL,KBDL
2015-01-05 10:20:00,N631SW,3858,SWA,KONT
2015-01-05 10:31:00,N196WQ,3859,RPA,KDEN
2015-01-05 11:00:00,,4342,ASQ,KIAH
2015-01-05 11:30:00,N178JB,1887,JBU,KORH
2015-01-05 12:00:00,N38467,1192,UAL,KDEN
2015-01-05 12:40:00,,2004,SWA,KDEN
2015-01-05 12:50:00,,424,SWA,KDEN
2015-01-05 13:53:00,,844,JBU,KCHS
2015-01-05 15:00:00,N220WN,2319,SWA,KLIT
2015-01-05 17:33:00,N191AV,1967,AMF,KPDX
2015-01-05 21:15:00,N444WN,263,SWA,KMSY
2015-01-06 00:00:00,,,,KFLL
2015-01-06 00:00:00,,,,KFTG
2015-01-06 00:00:00,,,,KHSV
2015-01-06 00:00:00,,,,PHNL
2015-01-06 00:00:00,,,,KSEA
2015-01-06 00:00:00,,,,KDAB
2015-01-06 00:00:00,,,,KMFE
2015-01-06 02:16:00,N919AN,2392,AAL,KDEN
2015-01-06 07:46:00,N290SW,5377,SKW,KLAX
2015-01-06 09:30:00,,,,KLEX
2015-01-06 17:15:00,N853CR,,BUS,KHEF
2015-01-06 17:30:00,,,MIL,KMEI
2015-01-06 18:06:00,N385PR,,PVT,KORL
2015-01-06 19:35:00,N493S,,BUS,KSJC
2015-01-06 20:00:00,,,MIL,KBYH
2015-01-07 00:00:00,,,,KBLI
2015-01-07 00:00:00,,,,KATL
2015-01-07 00:00:00,,,,KRIC
2015-01-07 00:00:00,,,,KDAY
2015-01-07 08:30:00,N544CM,,BUS,KAPF
2015-01-07 11:05:00,N442ND,,BUS,
2015-01-07 14:20:00,N429TM,429,BUS,KRST
2015-01-07 17:11:00,N651AE,3077,ENY,KDFW
2015-01-07 17:43:00,,1466,AAL,KDFW
2015-01-07 17:45:00,N8624J,450,SWA,KHOU
2015-01-07 18:28:00,N531UA,1817,ATN,KPDX
2015-01-07 19:45:00,N307FE,1230,FDX,KSLC
2015-01-08 00:00:00,N203UW,770,AWE,TJSJ
2015-01-08 00:00:00,,,,KDEN
2015-01-08 00:00:00,,,,KEVV
2015-01-08 06:50:00,N9617R,269,AAL,KSJC
2015-01-08 08:15:00,,3779,ASH,KSAT
2015-01-08 09:30:00,N835MA,,BUG,PHJH
2015-01-08 13:17:00,N449WN,215,SWA,KRSW
2015-01-08 14:30:00,,373U,SKW,KSLC
2015-01-08 14:50:00,N656AW,562,AWE,KPHX
2015-01-09 00:00:00,,,,KROA
2015-01-09 00:00:00,,,,KPHF
2015-01-09 00:00:00,,,,KMTH
2015-01-09 00:00:00,,,,KDFW
2015-01-09 05:40:00,N708GP,7539,BUS,KSMO
2015-01-09 05:55:00,N76515,1596,UAL,KSMF
2015-01-09 09:02:00,,3762,ASH,KAUS
2015-01-09 12:40:00,,166,AAL,KDFW
2015-01-09 13:25:00,N778JG,,BUS,KLVK
2015-01-09 16:00:00,N956NN,94,AAL,KJFK
2015-01-09 21:05:00,,5645,SKW,KSFO
2015-01-09 22:00:00,N665AW,1712,AWE,KPHL
2015-01-09 23:54:00,N695MA,,BUS,KYIP
2015-01-10 00:00:00,,,,KMSY
2015-01-10 08:00:00,N505NK,379,NKS,KMYR
2015-01-10 12:00:00,N493HA,383,HAL,PHNL
2015-01-10 12:20:00,N549CA,4589,SKW,KLGB
2015-01-10 13:45:00,N942LL,3662,ENY,KTOL
2015-01-10 15:30:00,N7547A,333,AAL,KMFE
2015-01-10 16:19:00,,5493,SKW,KDEN
2015-01-11 00:00:00,,,,PHNL
2015-01-11 00:00:00,,,,KIDA
2015-01-11 00:00:00,,,,KSBA
2015-01-11 00:00:00,,,,KGRB
2015-01-11 12:42:00,,2680,SKW,KSBA
2015-01-11 13:00:00,N613AS,408,ASA,KSJC
2015-01-11 13:35:00,,1278,AAL,KDFW
2015-01-11 16:35:00,,402,SWA,KTUL
2015-01-11 20:30:00,N775SW,4297,SWA,KOAK
2015-01-12 00:00:00,,,,KATL
2015-01-12 00:00:00,,,,KEVV
2015-01-12 00:00:00,,,,KFLL
2015-01-12 00:00:00,,,,KOAK
2015-01-12 00:00:00,,,,KMCO
2015-01-12 11:01:00,,471,AWE,KPHX
2015-01-12 11:30:00,N368NW,2067,DAL,KSAN
2015-01-12 16:51:00,N755SA,4465,SWA,KTUL
2015-01-12 22:00:00,,,SIL,KTPA
2015-01-13 00:00:00,,,,KSDF
2015-01-13 00:00:00,,,,KLAN
2015-01-13 00:00:00,,,,KMFE
2015-01-13 00:00:00,,,,KPIA
2015-01-13 11:53:00,N586JB,,JBU,TJSJ
2015-01-13 12:11:00,,1940,DAL,KDSM
2015-01-13 14:48:00,N504AE,3219,ENY,KLBB
2015-01-13 15:10:00,,3676,SWA,KBWI
2015-01-13 17:29:00,N923EV,5062,ASQ,KLEX
2015-01-13 17:50:00,N5197R,,PVT,KSLE
2015-01-13 17:55:00,N523SW,37,SWA,KCRP
2015-01-13 18:10:00,N254EK,,BUS,KPAO
2015-01-13 20:46:00,N14907,4605,ASQ,KLGA
2015-01-13 23:52:00,,7313,GGN,KIND
2015-01-14 00:00:00,N808FG,,BUS,
2015-01-14 00:00:00,,,,KPDX
2015-01-14 00:00:00,,,,KBFI
2015-01-14 00:00:00,,,,KJFK
2015-01-14 08:13:00,N241GB,,PVT,KCIC
2015-01-14 09:15:00,N616SW,4542,SWA,KDEN
2015-01-14 13:30:00,N932EV,572,SKW,KCOS
2015-01-14 17:10:00,N624FE,781,FDX,KPDX
2015-01-15 00:00:00,,,,KDTO
2015-01-15 00:00:00,,,,KUES
2015-01-15 00:00:00,,,,KSJC
2015-01-15 00:00:00,,,,KATL
2015-01-15 00:00:00,,,,KCRP
2015-01-15 00:00:00,,,,KCRP
2015-01-15 00:00:00,,,,KSBA
2015-01-15 00:51:00,,7313,GGN,KIND
2015-01-15 04:57:00,N319UP,946,UPS,KOAK
2015-01-15 09:29:00,N77295,1670,UAL,KSFO
2015-01-15 11:44:00,C-GIUB,1232,ACA,KRSW
2015-01-15 11:56:00,,5944,ASQ,KDEN
2015-01-15 13:00:00,N792CB,,BUS,KCOS
2015-01-15 14:30:00,N910PS,,BUS,KTIX
2015-01-15 14:50:00,,,,KCVG
2015-01-15 19:15:00,N29906,4259,ASQ,KLBB
2015-01-16 00:00:00,,,,KDEN
2015-01-16 00:00:00,,,,KDFW
2015-01-16 00:00:00,,,,KISP
2015-01-16 00:00:00,,,,KPDX
2015-01-16 00:00:00,,,,KMSY
2015-01-16 00:00:00,,,,KBDL
2015-01-16 06:15:00,,3472,TCF,KMSY
2015-01-16 06:58:00,N783H,,BUS,KBKL
2015-01-16 08:08:00,N359FE,613,FDX,KELP
2015-01-16 17:20:00,,,DAL,KTPA
2015-01-16 19:01:00,N676AW,642,AWE,KDEN
2015-01-16 21:15:00,N563RP,3330,TCF,KPHL
2015-01-17 00:00:00,,,,KACY
2015-01-17 00:00:00,,,,KATL
2015-01-17 00:00:00,,,,KFXE
2015-01-17 00:00:00,,,,KILM
2015-01-17 00:00:00,,,,KDEN
2015-01-17 00:00:00,,,,KJFK
2015-01-17 00:00:00,,,,KLGA
2015-01-17 00:00:00,,,,KVNY
2015-01-17 00:00:00,,,,PHOG
2015-01-17 00:00:00,,,,PHNL
2015-01-17 00:00:00,,,,PHNL
2015-01-17 00:00:00,,,,KMSY
2015-01-17 00:00:00,,,,PHNL
2015-01-17 08:57:00,,106,BUS,KSQL
2015-01-17 09:08:00,N414TW,,BUS,KICT
2015-01-17 09:13:00,N354EF,LNF354EF,BUS,KAUS
2015-01-17 10:05:00,,258,RSP,KLVK
2015-01-17 11:57:00,9Y-JMD,420,BWA,KJFK
2015-01-17 12:00:00,N392SW,34,SWA,KSMF
2015-01-17 15:20:00,N205FR,1343,FFT,KIAD
2015-01-18 00:00:00,,,,KLIT
2015-01-18 09:15:00,N377NW,2285,DAL,KMCO
2015-01-18 10:00:00,N637FT,,BUS,X59
2015-01-18 11:40:00,N630JB,337,JBU,KMCO
2015-01-18 11:52:00,N823SK,4818,SKW,KSMF
2015-01-18 12:00:00,N428PH,,PHM,KBPT
2015-01-18 14:45:00,,5605,ASH,KDSM
2015-01-18 16:13:00,,818,AAY,KJQF
2015-01-18 17:00:00,N908SW,6408,SKW,KEUG
2015-01-18 19:30:00,N605QS,,BUS,KOKC
2015-01-18 22:30:00,C-FFWM,,ACA,KFLL
2015-01-18 23:59:00,N944JT,915,JBU,KJFK
2015-01-19 00:00:00,,,,KMSY
2015-01-19 00:00:00,,,,KSDF
2015-01-19 00:00:00,,,,KMDD
2015-01-19 00:00:00,,,,KFLL
2015-01-19 00:00:00,,,,KDRO
2015-01-19 00:00:00,,,,KBLI
2015-01-19 00:00:00,,,,KMSY
2015-01-19 00:00:00,,,,KMSY
2015-01-19 13:50:00,N566UW,406,AWE,KDTW
2015-01-19 15:00:00,N483DA,416,BUS,KSFB
2015-01-19 15:30:00,N731SA,39,SWA,KDAL
2015-01-19 17:21:00,N555QS,,BUS,KSUX
2015-01-19 17:30:00,N4630N,1109,KAP,KMWA
2015-01-19 18:00:00,,1806,AWE,KCLT
2015-01-20 00:00:00,N629SW,742,SWA,KSMF
2015-01-20 00:00:00,,,,KDEN
2015-01-20 00:00:00,,,,KSEA
2015-01-20 00:00:00,,,,KGRI
2015-01-20 00:00:00,,,,KTVC
2015-01-20 06:49:00,N550TL,,BUS,KLBB
2015-01-20 15:00:00,N321NB,1771,DAL,KATL
2015-01-20 16:15:00,,357,AAL,KBWI
2015-01-20 17:50:00,N793SA,1961,SWA,KSNA
2015-01-21 00:00:00,,,,KIAD
2015-01-21 00:00:00,,,,KIAD
2015-01-21 00:00:00,,,,KDAB
2015-01-21 00:00:00,,,,KDTW
2015-01-21 00:00:00,,,,KATL
2015-01-21 12:10:00,N938WN,3236,SWA,KSMF
2015-01-21 17:17:00,,889,SWA,KDEN
2015-01-22 00:00:00,,,,KDEN
2015-01-22 00:00:00,,,,KSFO
2015-01-22 00:00:00,,,,KSLC
2015-01-22 07:10:00,N506NK,177,NKS,KCLE
2015-01-22 07:39:00,N14735,165,UAL,PGUM
2015-01-22 09:15:00,,5261,SKW,KCOS
2015-01-22 10:35:00,,1575,UAL,KDEN
2015-01-22 11:12:00,N379DA,410,DAL,KDEN
2015-01-22 11:15:00,N8647A,2602,SWA,KRSW
2015-01-22 11:45:00,N191WQ,3880,RPA,KCOS
2015-01-22 12:40:00,N784JB,494,JBU,KDEN
2015-01-22 13:20:00,N601WN,499,SWA,KMCO
2015-01-22 18:30:00,N807MR,,USCBP,
2015-01-22 19:30:00,C6559,,USCG,
2015-01-22 20:38:00,N780SK,5222,SKW,KDEN
2015-01-22 20:40:00,N23675,,BUS,KXNA
2015-01-23 00:00:00,,,,KLGB
2015-01-23 00:00:00,,,,KEAT
2015-01-23 00:00:00,,,,KBTR
2015-01-23 00:00:00,,,,KBUR
2015-01-23 00:00:00,,,,KMCI
2015-01-23 10:16:00,N73,,GOV,KARR
2015-01-23 10:50:00,N696HC,,BUS,KALN
2015-01-23 12:40:00,,906,AAY,KCVG
2015-01-23 13:52:00,N6014J,,PVT,KSAF
2015-01-23 14:54:00,,684,AWE,PHLI
2015-01-24 00:00:00,,,,KATW
2015-01-24 00:00:00,,,,KABE
2015-01-24 00:00:00,,,,KFTG
2015-01-24 00:00:00,,,,KHWD
2015-01-24 00:00:00,,,,KORD
2015-01-24 00:00:00,,,,KMSY
2015-01-24 00:00:00,,,,KPIA
2015-01-24 00:00:00,,,,KSEA
2015-01-24 09:45:00,N217NV,625,AAY,KABE
2015-01-24 10:00:00,,,BUS,TJSJ
2015-01-24 10:15:00,N353AA,1411,AAL,KMCO
2015-01-24 15:30:00,N844AS,5065,ASQ,KSGF
2015-01-24 15:43:00,N2485X,,BUS,KJQF
2015-01-25 00:00:00,,,,KIWA
2015-01-25 00:00:00,,,,KABE
2015-01-25 07:53:00,,302,BUS,KATL
2015-01-25 08:00:00,N814NN,1674,AAL,KMIA
2015-01-25 09:00:00,N1193R,,PVT,KADS
2015-01-25 10:42:00,N913WN,574,SWA,KOAK
2015-01-25 11:30:00,N839NN,2317,AAL,KRSW
2015-01-25 15:00:00,N910SW,875,SKW,KPSP
2015-01-25 17:55:00,N751EV,4927,ASQ,KLGA
2015-01-26 00:00:00,,,,KACY
2015-01-26 00:00:00,,,,KDTW
2015-01-26 00:00:00,,,,KDTW
2015-01-26 00:00:00,,,,KHVN
2015-01-26 00:00:00,,,,KONT
2015-01-26 05:54:00,N363AM,,BUS,KMER
2015-01-26 11:30:00,,619,SKW,KDEN
2015-01-26 12:57:00,N514NK,960,NKS,KRSW
2015-01-26 12:59:00,N953WN,4471,SWA,KRSW
2015-01-26 13:39:00,N809SY,382,SCX,KRSW
2015-01-26 16:14:00,N640SW,1261,SWA,KMCO
2015-01-26 17:15:00,N429AW,,AWI,KDCA
2015-01-26 20:50:00,C1719,,USCG,PHLI
2015-01-26 23:09:00,,2228,SWA,KCMH
2015-01-26 23:27:00,N624FE,66,FDX,KMEM
2015-01-27 00:00:00,,,,KMCO
2015-01-27 00:00:00,,,,KMRY
2015-01-27 12:20:00,,2541,QXE,KSMF
2015-01-27 14:04:00,N6406D,,BUS,KHWO
